Designator,Mid X,Mid Y,Rotation,Layer
C1,-100.230000,-95.080000,90.000000,bottom
C2,-98.390000,-109.400000,-90.000000,bottom
C3,-97.537500,-96.937500,90.000000,bottom
C4,-90.787500,-55.371250,-90.000000,bottom
C5,-93.897500,-99.087500,180.000000,bottom
C6,-96.537500,-96.937500,90.000000,bottom
C7,-93.905000,-100.116250,180.000000,bottom
C8,-111.737500,-89.867500,90.000000,bottom
C9,-99.210000,-95.060000,90.000000,bottom
C10,-92.680000,-103.810000,180.000000,bottom
C11,-97.667500,-56.311250,90.000000,bottom
C12,-106.900000,-104.390000,0.000000,bottom
C13,-105.177500,-98.407500,90.000000,bottom
C14,-99.400000,-109.480000,-90.000000,bottom
C15,-91.807500,-55.371250,90.000000,bottom
C16,-105.340000,-112.630000,-90.000000,bottom
C17,-99.696250,-112.068750,90.000000,bottom
D1,-27.017500,-48.727500,90.000000,bottom
D2,-31.050000,-66.710000,90.000000,bottom
D3,-37.336250,-84.446250,180.000000,bottom
D4,-50.830000,-48.727500,90.000000,bottom
D5,-55.592500,-71.746250,90.000000,bottom
D6,-65.117500,-78.890000,-90.000000,bottom
D7,-69.880000,-48.727500,90.000000,bottom
D8,-74.642500,-68.571250,90.000000,bottom
D9,-84.167500,-78.890000,-90.000000,bottom
D10,-50.036250,-105.877500,90.000000,bottom
D11,-88.930000,-48.727500,90.000000,bottom
D12,-93.692500,-68.571250,90.000000,bottom
D13,-105.257500,-78.657500,-90.000000,bottom
D14,-73.848750,-105.877500,90.000000,bottom
D15,-107.980000,-48.790000,90.000000,bottom
D16,-111.710000,-68.570000,90.000000,bottom
D17,-121.473750,-79.683750,-90.000000,bottom
D18,-92.090000,-92.820000,-90.000000,bottom
D19,-127.030000,-48.727500,90.000000,bottom
D20,-131.792500,-68.571250,90.000000,bottom
D21,-141.317500,-87.621250,90.000000,bottom
D22,-127.030000,-95.496250,-90.000000,bottom
D23,-146.080000,-48.790000,90.000000,bottom
D24,-150.842500,-68.571250,90.000000,bottom
D25,-159.573750,-87.621250,90.000000,bottom
D26,-150.842500,-95.496250,-90.000000,bottom
D27,-165.130000,-48.727500,90.000000,bottom
D28,-169.892500,-68.571250,90.000000,bottom
D29,-179.417500,-87.558750,90.000000,bottom
D30,-174.655000,-99.590000,-90.000000,bottom
D31,-184.180000,-48.790000,90.000000,bottom
D32,-188.942500,-68.571250,90.000000,bottom
D33,-197.673750,-87.621250,90.000000,bottom
D34,-211.961250,-105.815000,90.000000,bottom
D35,-203.230000,-48.727500,90.000000,bottom
D36,-207.992500,-68.508750,90.000000,bottom
D37,-216.723750,-87.621250,90.000000,bottom
D38,-235.773750,-105.877500,90.000000,bottom
D39,-222.280000,-48.790000,90.000000,bottom
D40,-227.042500,-68.571250,90.000000,bottom
D41,-235.773750,-87.621250,90.000000,bottom
D42,-259.025000,-105.750000,90.000000,bottom
D43,-241.330000,-48.727500,90.000000,bottom
D44,-245.298750,-68.508750,90.000000,bottom
D47,-260.380000,-48.665000,90.000000,bottom
D48,-277.048750,-68.571250,90.000000,bottom
D49,-271.492500,-87.621250,90.000000,bottom
D50,-283.398750,-48.790000,90.000000,bottom
D52,-288.161250,-87.621250,90.000000,bottom
F1,-103.353750,-56.040000,180.000000,bottom
J2,-116.650000,-56.480000,0.000000,bottom
R1,-116.420000,-72.945000,-90.000000,bottom
R2,-114.880000,-72.885000,-90.000000,bottom
R3,-77.690000,-109.900000,180.000000,bottom
R4,-123.140000,-89.560000,180.000000,bottom
R5,-100.627500,-109.227500,90.000000,bottom
SW7,-123.630000,-84.760000,180.000000,bottom
U1,-100.255000,-102.497500,180.000000,bottom
U2,-117.287500,-92.282500,180.000000,bottom
U3,-94.410000,-55.817500,0.000000,bottom
Y1,-102.337500,-112.227500,0.000000,bottom
