"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";1;"Conn_01x04";;;
2;"F2,P1,Q1,W1,G1,D46,E1,;1,T1,J3,Win1,H1,<1,U4,L1,[1,I1,V1,Shift3,Space_7u1,Y2,Shift2,Space2.25,Space2.75,Fn1,B1,Shift1,M1,Z1,C18,S1,A1,'1,X1,/1,R6,RMod1,K1,Win2,>1,N1,]1,Enter1,O1,LMod1";"SW_MX_1u";45;"MX_SW_solder";;;
3;"Stab_Enter1,Stab_LShift1";"STAB_MX_2.25u";2;"MX_stab";;;
4;"Stab_Spc2.25";"STAB_MX_P_2.25u";1;"MX_stab";;;
5;"Stab_Spc7u1";"STAB_MX_P_7u";1;"MX_stab";;;
6;"Tab1,Bspc1";"SW_MX_1.5u";2;"MX_SW_solder";;;
7;"StepCtrl1";"SW_MX_1.75u_stp";1;"MX_SW_solder";;;
8;"Ctrl1";"SW_MX_1.75u";1;"MX_SW_solder";;;
9;"Stab_Spc2.75";"STAB_MX_P_2.75u";1;"MX_stab";;;
10;"Stab_RShift1";"STAB_MX_2.75u";1;"MX_stab";;;
11;"C11,C5,C15,C1";"C_0402_1005Metric";4;"1uF";;;
12;"D32,D1,D20,D44,D39,D15,D26,D4,D10,D24,D28,D49,D3,D17,D47,D42,D50,D8,D48,D34,D30,D23,D41,D9,D12,D43,D29,D36,D25,D14,D52,D6,D40,D19,D2,D18,D5,D21,D31,D16,D27,D13,D35,D38,D11,D33,D22,D7,D37";"D_SOD-123";49;"1N4148W";;;
13;"U1";"RP2040-QFN-56";1;"RP2040";;;
14;"C6,C2,C7,C10,C13,C8,C14,C3,C9,C12";"C_0402_1005Metric";10;"100nF";;;
15;"R4,R5,R3";"R_0402_1005Metric";3;"1k";;;
16;"C4";"C_0402_1005Metric";1;"10uF";;;
17;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
18;"U3";"SOT-23";1;"XC6206PxxxMR-Regulator_Linear";;;
19;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
20;"R1,R2";"R_0603_1608Metric";2;"27R";;;
21;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
22;"C17,C16";"C_0402_1005Metric";2;"22pF";;;
